marque,annee,etat,type_boite_vitesse,localite,region,prix,lien_image
Ford,2019,Neuf,Automatique,Zac Mbao,Dakar,16500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9f1a5aacec15d1d0bd78ffe24fdd07db/-/horizon-files-prod/ed/picture/qgq9mwwr/6837c0e1dc53974c42195513695e0ddf58f0b898.jpg
Mitsubishi,2015,Venant,Automatique,Mermoz,Dakar,8300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f6b486337cd1b254ea536425b40bde2/-/horizon-files-prod/ed/picture/qxjj0gm4/3d0a36b274058ec522e39c5fe08eeb13429e12ab.jpg
Kia,2017,Venant,Automatique,Mermoz,Dakar,13300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2afead516039f66d64e4d707037ea2d4/-/horizon-files-prod/ed/picture/q6xkz2gz/7b9eb1309cfef287000057daeb1c7802697b0a48.jpg
Kia,2015,Venant,Automatique,Mermoz,Dakar,8850000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0ea6e16f865d6cbe47b393d9c4241dab/-/horizon-files-prod/ed/picture/qdek4xvr/a572ae39476d5416de6acd4f23db32baef9fdfa3.jpg
Hyundai,2016,Venant,Automatique,Mermoz,Dakar,11000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aaf93dd4895f09a3d91508a7b573bdb4/-/horizon-files-prod/ed/picture/q9m9d9nx/97de27e4058ea6aaff8e7ba903c229c94f1d7571.jpg
Hyundai,2016,Venant,Automatique,Ouest foire,Dakar,12000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/99007c08716e13273eaaa7767ae41ac3/-/horizon-files-prod/ed/picture/qzvde70x/61c8abf685f025394abc12ddb02d9bc6c3c40956.jpg
Hyundai,2016,Venant,Automatique,Ouest foire,Dakar,7800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2b175e7a6c7f0a0e86840be092278534/-/horizon-files-prod/ed/picture/q448qj72/a76353785d58530c06796f623ab08fbd9f51ddeb.jpg
Ford,2014,D'occasion,Automatique,Médina,Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4874364834e1c3217aea6eedeb903073/-/horizon-files-prod/ed/picture/q0g2eqq6/8226e5f66f86ee153d30b828f6529c4def40c472.jpg
Ford,2014,D'occasion,Automatique,Médina,Dakar,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/adf02a4db0a02330e195eace9eb6cf62/-/horizon-files-prod/ed/picture/q448mmr8/27fb1389a577c2ab464be4a02eec216fb9aa7e69.jpg
Hyundai,2011,D'occasion,Automatique,Patte d‘oie,Dakar,5000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2e01b596a434c2b5a9272cee983a260/-/horizon-files-prod/ed/picture/qngxnp99/3cbedcf92d1e01722e071dc0bb2649c6ef8e8670.jpg
Toyota,2009,D'occasion,Manuelle,Parcelles Assainies,Dakar,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/958ae379be8c4c0175f0ed5b12d3277f/-/horizon-files-prod/ed/picture/qpd6q69w/88a53fa115514d8388d50f874d6e61dac0c0d3c3.jpg
Ford,2013,D'occasion,Automatique,VDN,Dakar,4700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e20a578a019342b286dc3280d974f72e/-/horizon-files-prod/ed/picture/qwe25gm0/384c7c975da730ac4b6a46abd77e35ddb1a66f68.jpg
Hyundai,2013,D'occasion,Automatique,Guediawaye,Dakar,5800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ff175b48aaa8ffba4b44b0987e0ea248/-/horizon-files-prod/ed/picture/qkrgv8dz/49c8aa384876d87ca776862e0503f1dc8a17456c.jpg
Toyota,2015,D'occasion,Automatique,Gueule-Tapée,Dakar,9950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8eb8013ada1a5cc50386c3b13b1096de/-/horizon-files-prod/ed/picture/qv4exzwm/35ca85cfce6405818ed1481de21c4a092e890f73.jpg
Toyota,2013,D'occasion,Automatique,Gueule-Tapée,Dakar,7300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fcfe80e5229d6bf3700b7a3c49181b41/-/horizon-files-prod/ed/picture/qq47v48j/c70ec4cdc212900c1c44c34284475445e3de3dc7.jpg
Toyota,2021,Neuf,Automatique,Golf,Dakar,39000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5cecdf61e61f57e4e8a9e76cc667be54/-/horizon-files-prod/ed/picture/qv4e5eek/0cecbe173162e80952acbbd1ede7e480c3b6c072.jpg
Hyundai,2015,Venant,Automatique,Cité keur gorgui,Dakar,6000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/fd2112617840eafc8f4d07ed8c6261e3/-/horizon-files-prod/ed/picture/qkrgv87n/65a8b1a3ce7addc4596c74b0a9c4aaf400552214.jpg
Mercedes-Benz,2017,Venant,Automatique,Castor,Dakar,23000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9d6f858d81b46054a1414b9ea1487e58/-/horizon-files-prod/ed/picture/qgq9jwj9/576af3f533df9cb8f549bb35cbcf4eed2841f7de.jpg
BMW,2011,D'occasion,Automatique,Yoff,Dakar,8500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a5a4bed53a64f31eee1a42203a7445dc/-/horizon-files-prod/ed/picture/qxj2epnj/c4da17cfbb8007621a503ccc8da9f6f0dd70dee4.jpg
BMW,2015,Venant,Automatique,Almadies,Dakar,17000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cb42e8ea73def2c160f47f6a8241dd96/-/horizon-files-prod/ed/picture/qngx9pg0/3aabf59bcba07bbdaf146d6024a2f2fc6ce8804d.jpg
Ford,2010,D'occasion,Automatique,Plateau,Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a0729ef75ad3dceac9e0f2c8544439cc/-/horizon-files-prod/ed/picture/qj4rw6kg/4c97c7e9ac9686b58db0db6d9c94ec7b24ce8520.jpg
Toyota,2009,D'occasion,Manuelle,Plateau,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/38f93adc4b38674ac5b27e6c206b26b8/-/horizon-files-prod/ed/picture/qdewv7dg/5b6cfc8a9c5609e4460c586f6604fa4aa051de77.jpg
Toyota,2011,D'occasion,Manuelle,Plateau,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f3e8c9669d82da41eb4d1c66c9326261/-/horizon-files-prod/ed/picture/qwez568m/5791d1c0283ce29bcf36d08a6e2d0acd6aba40af.jpg
Hyundai,2008,D'occasion,Manuelle,Plateau,Dakar,2200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/07b426312aab4311068590e710a58b9f/-/horizon-files-prod/ed/picture/qxj2gm4j/d5e543c0970db96a4047b74d450c2562abc68d8c.jpg
Mitsubishi,2010,D'occasion,Manuelle,Plateau,Dakar,3800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8912c4c887e2001c4d3bb9017cd8d67c/-/horizon-files-prod/ed/picture/q56xvxn6/acdf1576d281cf7e9979f0a78e8f1482016b9dac.jpg
Peugeot,2000,D'occasion,Manuelle,Plateau,Dakar,2500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ab88b83a43f65dc5d1d09ce423ebadf0/-/horizon-files-prod/ed/picture/qj4r2k6d/d9a4f79193a0746a4844be5d96b541c2c1506de7.jpg
