marque,annee,etat,localite,region,prix,lien_image
SYM,2015,Venant,Guediawaye,Dakar,375000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0dc2e911feaa904e056c3378d2736ef4/-/horizon-files-prod/ed/picture/q8v5gxzx/0f112e8ee2d79e7240be21c5e963bcf97938a494.jpg
Honda,2021,Venant,Plateau,Dakar,5500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/78dcb0e760aa4fcf3e91154dd61a7f2e/-/horizon-files-prod/ed/picture/qwe25gep/44fea9c691f1e35d6c8d6b9c0db34e3310696e53.jpg
KTM,2016,D'occasion,Yoff,Dakar,2950000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8df78eec42fb184611bdbdd5c7a4d667/-/horizon-files-prod/ed/picture/qenq7w2k/399c4568add6b6e8f2cfdc8f8c76bda9dda868a6.jpg
Honda,2020,Neuf,Almadies 2,Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d7a85919de26c2c8a87802871a20dd35/-/horizon-files-prod/ed/picture/q564mprr/8b55c069a49c4dad9297ad0754dcc6a127d17648.jpg
Honda,2019,Venant,Plateau,Dakar,4500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8b5801b22f7b0b959cd61e1b97df187/-/horizon-files-prod/ed/picture/qv4e5wwp/405e853f0981a2025bb5fcd841505847ccfe7277.jpg
BMW,2015,Venant,Hann maristes,Dakar,3500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d20d3350299d543da359d4badf9e8994/-/horizon-files-prod/ed/picture/qenq76nj/deaed2a37a2e3229a0efa02b2d74a427ca376415.jpg
Yamaha,2019,Venant,Hann maristes,Dakar,1400000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8b370cf44bdbedc269c9d983ee6a3240/-/horizon-files-prod/ed/picture/q6xkzvgv/a5dbd272a20007fc10a3bf0ccce99895d560df45.jpg
Ducati,2018,D'occasion,Hlm,Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c7bfa83c79901664bfa0be6b0b2ac09c/-/horizon-files-prod/ed/picture/q7850e2d/c69ce0e35576b86f3b8ed27d773f53be3aba3e51.jpg
Autre,2024,Neuf,Ouakam,Dakar,350000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bc369bb15d1b78260b79cb965e03167c/-/horizon-files-prod/ed/picture/qj4r2725/7500b97723f6d5ddc25ee089b38de9913ef308c7.jpg
Honda,2019,Venant,Guediawaye,Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5e4dd81cc697ea8048890859046012d8/-/horizon-files-prod/ed/picture/qj4r7jxe/c033fdbba7edec2977fb0b17e0877ba18e95eea2.jpg
