web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,etat,marque,annee,boite_vitesse,adresse,prix,image_lien-src
"1706252565-1","https://www.expat-dakar.com/voitures?page=50","Hyundia tucson
VenantHyundai2016Automatique
Ouest foire,
Dakar

samedi, 19:43

12 500 000 F Cfa

771182598","https://www.expat-dakar.com/annonce/hyundia-tucson-5978885","Venant","Hyundai","2016","Automatique","Ouest foire

Dakar","12 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b0056334276a6f9b5d563fcb8388a81/-/horizon-files-prod/ed/picture/q56x5565/c9b8db9317ab5fa5fa2dcdd262ef2b5ba366171a.jpg"
"1706252568-2","https://www.expat-dakar.com/voitures?page=50","Ford edge
D'occasionFord2013Automatique
Ouest foire,
Dakar

samedi, 22:02

6 500 000 F Cfa

771182598","https://www.expat-dakar.com/annonce/ford-edge-5972926","D'occasion","Ford","2013","Automatique","Ouest foire

Dakar","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/43adedc1750c2b1b39b132a6dbe45c71/-/horizon-files-prod/ed/picture/q9m9wpvx/0e951320661f1be17a6b732e4e9744cf9e496da7.jpg"
"1706252570-3","https://www.expat-dakar.com/voitures?page=50","TOYOTA TACOMA PIK UP 2016
D'occasionToyota2016Automatique
Sacré-cœur,
Dakar

samedi, 22:26

15 000 000 F Cfa

775420905

776586448","https://www.expat-dakar.com/annonce/toyota-tacoma-pik-up-2016-5871240","D'occasion","Toyota","2016","Automatique","Sacré-cœur

Dakar","15 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/708daa53d625dc31f791d96eaa40a749/-/horizon-files-prod/ed/picture/qdeke2mj/275c9a01c2f552d12a92bf64bd5096fdac140caf.jpg"
"1706252575-4","https://www.expat-dakar.com/voitures?page=50","KIA SPORTAGE 2015
VenantKia2015Automatique
Mermoz,
Dakar

samedi, 23:02

7 700 000 F Cfa

771923738","https://www.expat-dakar.com/annonce/kia-sportage-2015-5986062","Venant","Kia","2015","Automatique","Mermoz

Dakar","7 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c63bb95752d102a334bcc923b0f1641/-/horizon-files-prod/ed/picture/qdekjkvg/250b4e03100ad869fcc6a559ebd22eaefa79661e.jpg"
"1706252581-5","https://www.expat-dakar.com/voitures?page=50","MAZDA CX-5 ANNEE 2015
VenantMazda2015Automatique
Mermoz,
Dakar

samedi, 23:15

8 900 000 F Cfa

771923738","https://www.expat-dakar.com/annonce/mazda-cx-5-annee-2015-5986067","Venant","Mazda","2015","Automatique","Mermoz

Dakar","8 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/289845ef16a2c8f3fb88be0449b2e94b/-/horizon-files-prod/ed/picture/q785r5en/5453f4c1448ef0d6dcaa343f59c2ae214e1930d9.jpg"
"1706252588-6","https://www.expat-dakar.com/voitures?page=50","Peugeot 2008 Année 2015
D'occasionPeugeot2015Automatique
Liberte 6,
Dakar

lundi, 19:50

7 400 000 F Cfa

773018501","https://www.expat-dakar.com/annonce/peugeot-2008-annee-2015-5986005","D'occasion","Peugeot","2015","Automatique","Liberte 6

Dakar","7 400 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fb5d8b64d3d128cb7cf417644ce8117c/-/horizon-files-prod/ed/picture/qngxnxex/f04b16d846605d50a33cad4dde4e13011bce0f43.jpg"
"1706252593-7","https://www.expat-dakar.com/voitures?page=50","Kia Sportage 2019 essence
D'occasionKia2019Automatique
Ouest foire,
Dakar

samedi, 23:27

15 800 000 F Cfa

775483835","https://www.expat-dakar.com/annonce/kia-sportage-2019-essence-5986072","D'occasion","Kia","2019","Automatique","Ouest foire

Dakar","15 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b7c8151a13fb958ba05a0dae2bd6921/-/horizon-files-prod/ed/picture/qwe252dp/6f7d976d5b50fb142e0393a0dc3dab95162a6b29.jpg"
"1706252598-8","https://www.expat-dakar.com/voitures?page=50","Toyota 4Runner 2018
VenantToyota2018Automatique
Almadies,
Dakar

lundi, 13:03

32 000 000 F Cfa

781351108","https://www.expat-dakar.com/annonce/toyota-4runner-2018-5986071","Venant","Toyota","2018","Automatique","Almadies

Dakar","32 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d4b2ff7bbf3cf05d95f9c2e8c0b1ed0/-/horizon-files-prod/ed/picture/qngxnx4x/a31fe9354f3e7d5f06d189d73eb938dd95316a4a.jpg"
"1706252602-9","https://www.expat-dakar.com/voitures?page=50","Toyota Fortuner
VenantToyota2020Automatique
Almadies,
Dakar

lundi, 13:02

32 000 000 F Cfa

781351108","https://www.expat-dakar.com/annonce/toyota-fortuner-5986073","Venant","Toyota","2020","Automatique","Almadies

Dakar","32 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4e014dbc01100179ee139add732f3ee3/-/horizon-files-prod/ed/picture/qq4787mz/b230b27bbae1511eacad8d45aba1fcaa39374fbc.jpg"
"1706252605-10","https://www.expat-dakar.com/voitures?page=50","Mazda Cx9
VenantMazda2017Automatique
Almadies,
Dakar

lundi, 13:02

12 800 000 F Cfa

781351108","https://www.expat-dakar.com/annonce/mazda-cx9-5986074","Venant","Mazda","2017","Automatique","Almadies

Dakar","12 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d60a41d661d49d5361c4cc14106da2ba/-/horizon-files-prod/ed/picture/q8v5x5jp/b7e67f9c4934abff6e75f5ee3f61f680b42c8573.jpg"
"1706252610-11","https://www.expat-dakar.com/voitures?page=49","Ford edge titanium 2015
D'occasionFord2015Automatique
Cité Damel,
Dakar

dimanche, 19:30

8 700 000 F Cfa

775483835","https://www.expat-dakar.com/annonce/ford-edge-titanium-2015-5985273","D'occasion","Ford","2015","Automatique","Cité Damel

Dakar","8 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/99abc486fac76433ceea59d549e5ec6a/-/horizon-files-prod/ed/picture/qq478dzj/0efc7e2796b7b9f9c7d2decf1206b389f06290e9.jpg"
"1706252612-12","https://www.expat-dakar.com/voitures?page=49","Peugeaut partenaire manuel diesel 2015.
VenantPeugeot2015Manuelle
Keur Massar,
Dakar

samedi, 17:39

Vendeur vérifié

5 800 000 F Cfa

778440973

781004522","https://www.expat-dakar.com/annonce/peugeaut-partenaire-manuel-diesel-2015-5979694","Venant","Peugeot","2015","Manuelle","Keur Massar

Dakar","5 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/71aafdf17add6c2093e27f96fc9d9086/-/horizon-files-prod/ed/picture/qwe2856g/d5e69614cb60a36ef4e54f6ed93c3e3b6f8b5a87.jpg"
"1706252615-13","https://www.expat-dakar.com/voitures?page=49","Ford Edge Titanium
VenantFord2016Automatique
VDN,
Dakar

22. oct. '23, 19:42

12 800 000 F Cfa

776894991","https://www.expat-dakar.com/annonce/ford-edge-titanium-5911834","Venant","Ford","2016","Automatique","VDN

Dakar","12 800 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f824dbca0367091af6cef900ecd9955/-/horizon-files-prod/ed/picture/qm5p0g4w/b937a10516a231a4c4ba526afc94e5075187c2ed.jpg"
"1706252617-14","https://www.expat-dakar.com/voitures?page=49","Ford focus 2015 se
D'occasionFord2015Automatique
Almadies,
Dakar

dimanche, 09:35

3 900 000 F Cfa

775769999","https://www.expat-dakar.com/annonce/ford-focus-2015-se-5985314","D'occasion","Ford","2015","Automatique","Almadies

Dakar","3 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0339d06c58dfa6823720f71d5feeaf29/-/horizon-files-prod/ed/picture/qkrgv56z/5979a99443f2caabc28c4db667738eacfdcb102d.jpg"
"1706252620-15","https://www.expat-dakar.com/voitures?page=49","Ford fusion 2.0 2015
VenantFord2015Automatique
Cité Damel,
Dakar

dimanche, 09:53

6 000 000 F Cfa

775483835","https://www.expat-dakar.com/annonce/ford-fusion-20-2015-5980619","Venant","Ford","2015","Automatique","Cité Damel

Dakar","6 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/92f1b36d1ea1ce2cdda9474b6c951367/-/horizon-files-prod/ed/picture/q56x5qqr/0405268a3911518c902604b826b315e692fd810e.jpg"
"1706252622-16","https://www.expat-dakar.com/voitures?page=49","Toyota Camry 2013
D'occasionToyota2013Automatique
Cité Damel,
Dakar

dimanche, 11:31

5 500 000 F Cfa

776913661

776316995

763010913","https://www.expat-dakar.com/annonce/toyota-camry-2013-5963460","D'occasion","Toyota","2013","Automatique","Cité Damel

Dakar","5 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d73ba4504e024b9ad18cc333343608b/-/horizon-files-prod/ed/picture/qpd62dmj/d185172e5cd4454a9cc481198a13377fdffeaabc.jpg"
"1706252625-17","https://www.expat-dakar.com/voitures?page=49","Ford focus
D'occasionFord2013Automatique
Mbao,
Dakar

dimanche, 13:23

3 700 000 F Cfa

773138271

709069054","https://www.expat-dakar.com/annonce/ford-focus-5958610","D'occasion","Ford","2013","Automatique","Mbao

Dakar","3 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3e03f3d2f598faf359c7ed75a7bdb7c1/-/horizon-files-prod/ed/picture/qrzv7kvg/391a2451370681fd59ab3e23dfec7bf87a838c39.jpg"
"1706252627-18","https://www.expat-dakar.com/voitures?page=49","Peugeot 308 2010
D'occasionPeugeot2010
Hlm,
Dakar

dimanche, 13:26

3 700 000 F Cfa

772008700","https://www.expat-dakar.com/annonce/peugeot-308-2010-2733868","D'occasion","Peugeot","2010","","Hlm

Dakar","3 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ea011e10fbdc4a7a5af24cca938f5f73/-/horizon-files-prod/ed/picture/migrated/qrnk7wj/c1fff2954cb9306d6475552000c6fc39c4004d3d.jpg"
"1706252629-19","https://www.expat-dakar.com/voitures?page=49","Peugeot 307
D'occasionPeugeot2007Manuelle
Hlm,
Dakar

dimanche, 13:26

3 100 000 F Cfa

772008700","https://www.expat-dakar.com/annonce/peugeot-307-5371772","D'occasion","Peugeot","2007","Manuelle","Hlm

Dakar","3 100 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2cdb3bff7bce3018a8fa3bc2fc873f0e/-/horizon-files-prod/ed/picture/qwemdjxj/208c361bc41ac4f3edd77fea3b9a4053008a8adb.jpg"
"1706252632-20","https://www.expat-dakar.com/voitures?page=49","Hyundai Grandeur 2013
D'occasionHyundai2013Automatique
Cité biagui,
Dakar

dimanche, 13:42

4 700 000 F Cfa

778450879","https://www.expat-dakar.com/annonce/hyundai-grandeur-2013-5940444","D'occasion","Hyundai","2013","Automatique","Cité biagui

Dakar","4 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/70e9394bb9afcc85b36fbe8b05965cc5/-/horizon-files-prod/ed/picture/q6xkre8d/2483da9e4fd8ffa6972b683dc56e2cfafc7f5f0b.jpg"
"1706252637-21","https://www.expat-dakar.com/voitures?page=48","HYUNDAI PALISADE 2019
VenantHyundai2019Automatique
Sacré-cœur,
Dakar

dimanche, 13:55

32 000 000 F Cfa

778169439

778169439","https://www.expat-dakar.com/annonce/hyundai-palisade-2019-5300107","Venant","Hyundai","2019","Automatique","Sacré-cœur

Dakar","32 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dfa783a7be3f0ed10038d0580d098030/-/horizon-files-prod/ed/picture/qq4qkrkp/c2dfda2d7f7919618b0596588a5493bede914da9.jpg"
"1706252639-22","https://www.expat-dakar.com/voitures?page=48","NISSAN PATROL V8 2018
D'occasionNissan2014Automatique
Cité keur gorgui,
Dakar

dimanche, 14:15

777984596","https://www.expat-dakar.com/annonce/nissan-patrol-v8-2018-5982789","D'occasion","Nissan","2014","Automatique","Cité keur gorgui

Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b2e4d79a01e49a792d7b6cea8755521/-/horizon-files-prod/ed/picture/q785me7n/e29f549a9430cb74089c0cc297674577de1b0eea.jpg"
"1706252642-23","https://www.expat-dakar.com/voitures?page=48","FORD RANGER WILDTRAK 2022
VenantFord2022Automatique
Almadies,
Dakar

dimanche, 14:16

34 500 000 F Cfa

777984596","https://www.expat-dakar.com/annonce/ford-ranger-wildtrak-2022-5883553","Venant","Ford","2022","Automatique","Almadies

Dakar","34 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bd23a9f661893b73881e7de132669ad8/-/horizon-files-prod/ed/picture/q448dqd5/c01a5383e9c73762b68b4594cf5fe555663c6eec.jpg"
"1706252644-24","https://www.expat-dakar.com/voitures?page=48","Nissan rogue
D'occasionNissan2010Automatique
Cité keur gorgui,
Dakar

dimanche, 14:38

3 700 000 F Cfa

772707303

761946246","https://www.expat-dakar.com/annonce/nissan-rogue-5986251","D'occasion","Nissan","2010","Automatique","Cité keur gorgui

Dakar","3 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f950ec89a0798cbc73435c88dbcc2974/-/horizon-files-prod/ed/picture/qq47829w/43efdb69c3cd1446eef174f7b638b4fc9ba806f5.jpg"
"1706252647-25","https://www.expat-dakar.com/voitures?page=48","Kia sorento 2013
D'occasionKia2013
Liberte 6 extension,
Dakar

dimanche, 15:10

5 500 000 F Cfa

771650456","https://www.expat-dakar.com/annonce/kia-sorento-2013-5978439","D'occasion","Kia","2013","","Liberte 6 extension

Dakar","5 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/139349ec0c3279c28ae5dfb6343e5145/-/horizon-files-prod/ed/picture/q2jqd5qk/9d34aa53535d67564cfab635c5805755117516a6.jpg"
"1706252649-26","https://www.expat-dakar.com/voitures?page=48","HYUNDAI SANTAFE 2018
NeufHyundai2018Automatique
Cité Damel,
Dakar

dimanche, 15:21

13 700 000 F Cfa

776913661

776316995

763010913","https://www.expat-dakar.com/annonce/hyundai-santafe-2018-5972927","Neuf","Hyundai","2018","Automatique","Cité Damel

Dakar","13 700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/03e409bb743c5d221cd824f2cd6da454/-/horizon-files-prod/ed/picture/qngx24qv/b77b6badfd40b47c7246755cee0884121c43d3c5.jpg"
"1706252652-27","https://www.expat-dakar.com/voitures?page=48","MITSUBISHI RVR LIMITED 2017
NeufMitsubishi2017Automatique
Cité Damel,
Dakar

dimanche, 15:22

11 000 000 F Cfa

776913661

776316995

763010913","https://www.expat-dakar.com/annonce/mitsubishi-rvr-limited-2017-5969466","Neuf","Mitsubishi","2017","Automatique","Cité Damel

Dakar","11 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d971db1f631a7949c39f3d24e7efe973/-/horizon-files-prod/ed/picture/q6xkz22v/4ba11931337eeb8b2a89be6bf1637774182b8639.jpg"
"1706252654-28","https://www.expat-dakar.com/voitures?page=48","Bmw x5
D'occasionBMW2015Automatique
Ngor,
Dakar

dimanche, 15:37

11 000 000 F Cfa

775471043","https://www.expat-dakar.com/annonce/bmw-x5-5893997","D'occasion","BMW","2015","Automatique","Ngor

Dakar","11 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f6be1415b5086105c27d08439740db2/-/horizon-files-prod/ed/picture/q4488mwe/fb9c2aeb98e90d0e623ba465233198191a663a03.jpg"
"1706252657-29","https://www.expat-dakar.com/voitures?page=48","GMC terrain
D'occasionGMC2018Automatique
Mermoz,
Dakar

dimanche, 16:06

12 900 000 F Cfa

776497676","https://www.expat-dakar.com/annonce/gmc-terrain-5922094","D'occasion","GMC","2018","Automatique","Mermoz

Dakar","12 900 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c64baff3339d220c2ae907e92d2d4c4c/-/horizon-files-prod/ed/picture/qwe2g26z/6317d9a0fe8b96e1e8115c3fe8947af507eb200b.jpg"
"1706252659-30","https://www.expat-dakar.com/voitures?page=48","Peugeot 5008Gtline7plces
D'occasionPeugeot2018Automatique
Parcelles Assainies,
Dakar

dimanche, 16:53

Vendeur vérifié

9 500 000 F Cfa

776762074

776762074

765627272","https://www.expat-dakar.com/annonce/peugeot-5008gtline7plces-5985827","D'occasion","Peugeot","2018","Automatique","Parcelles Assainies

Dakar","9 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/00a95a1d13d09ceaac639e43f705b094/-/horizon-files-prod/ed/picture/qngxnxwg/07c2dcb2ff2d8964d1d20396969be1920f05f921.jpg"
"1706252664-31","https://www.expat-dakar.com/voitures?page=47","Bmw x3
D'occasionBMW2013Automatique
Mermoz,
Dakar

dimanche, 16:54

Vendeur vérifié

6 500 000 F Cfa

776762074

776762074

765627272","https://www.expat-dakar.com/annonce/bmw-x3-5983194","D'occasion","BMW","2013","Automatique","Mermoz

Dakar","6 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0bfacf507aa92fe066579d42d96c4c1f/-/horizon-files-prod/ed/picture/qwe28vqk/5e28e739606abd4fd7d3e8e69fefa894db375022.jpg"
"1706252666-32","https://www.expat-dakar.com/voitures?page=47","RANGE ROVER EVOGUE
D'occasionLand Rover2014Automatique
Sicap foire,
Dakar

dimanche, 17:11

7 500 000 F Cfa

773644670","https://www.expat-dakar.com/annonce/range-rover-evogue-5959001","D'occasion","Land Rover","2014","Automatique","Sicap foire

Dakar","7 500 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/28a4835bd21ccdaec09077a1a07c8f9f/-/horizon-files-prod/ed/picture/q785gdnq/823baa914817150fc0aedc0555d5a96ec3562a05.jpg"
"1706252669-33","https://www.expat-dakar.com/voitures?page=47","Hyundai Santafe sport AWD 2015
VenantHyundai2015Automatique
Sacré-cœur,
Dakar

dimanche, 17:26

10 000 000 F Cfa

771641048","https://www.expat-dakar.com/annonce/hyundai-santafe-sport-awd-2015-5968245","Venant","Hyundai","2015","Automatique","Sacré-cœur

Dakar","10 000 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd9f8e37854a1a119f42c4056adbff08/-/horizon-files-prod/ed/picture/q7859m8e/9cdace2702f3848b3c8985bc3fcea61c4e413aae.jpg"
